tweet,subtask_a,subtask_b,subtask_c
राम कदम वागण्यात नाही तर बोलण्यात चुकला बीजेपी मग अजितदादा कुठे तुमच्या तोंडात मूतले होते का?,Offensive,TIN,GRP
हीच का तुमची शिवसेने चि शिकवण आपली आई म्हणजे दैवत आणि दुसऱ्याची आई म्हणजे रांड,Offensive,TIN,GRP
हे वाचा गाढवांनो आणि हे ही सांगा की तुमच्या मॅडम आणि पप्पूने साली काय करार केला चीनी कम्युनि…,Offensive,TIN,GRP
भक्त आंधळे असतात मूर्खा ना काही कळत नाही,Offensive,TIN,GRP
१९६६ साली छत्रपती शिवाजी महाराज या जागतिक दर्जाच्या सम्राटाचे नाव () वापरून ज्यांनी शिव सेना स्थापन केली त्यांची…,Offensive,TIN,GRP
भक्तांची आधुनिक झासी कंगना रानावत हिचे झाशीच्या राणी बद्दलच वक्तव्य बघा तुम्हाला लाज वाटायला पाहिजे दळभद्री बिंडोक भ…,Offensive,TIN,GRP
शांत राहिले की ही बाळासाहेबांची सेना नाही अन् थोडे अशांत झाले की आतंकी सेना त्यांच्या मतावर तेच ठाम नाहीत मंद भक्त,Offensive,TIN,GRP
यांना पोर्टस्टार म्हणणाऱ्या नालायक जातीच्या ला महाराष्ट्रातील विशिष्ट पक्षाचे कार्यक…,Offensive,TIN,GRP
मरणार लाचारी रक्तात भिणली आहे यांच्या आरश्यासमोर उभे राहू शकत नाहीत म्हणून त्यांची दळभद्री तोंडे घेऊन आपल्या समोर फडकत असतात,Offensive,TIN,GRP
अरे येड्याहो तुम्ही तर मर्चंट नेव्हीतल्या माणसाला भारतीय नौदलाचा अधिकारी करून टाकले होते मूर्खांहो आणि मुंबई महानगरपालिके…,Offensive,TIN,GRP
च्यायला ह्यांना चॅनेल बंद करायचा फतवा काढावा लागतो शिवसेना आहे की हिजडिसेना एवढंच आहे तर सोशल मीडि…,Offensive,TIN,GRP
तेव्हा पाकिट त्यांच्या तोंडात कोंबलेले असतं,Offensive,TIN,GRP
आधी बातमी वाच रे मंद भक्ता तुमच्या सारख्या लोकांसाठी च बनवून ठेवलीय जरा कमी तों…,Offensive,TIN,GRP
भाजप तर नालायक आहेचं त्यांची मुजोरी य् सहा वर्षांत खूप वाढली आहे पण अशीच मुजोरी आणि हिंसा हे कम्युनिस्ट वर्षानुव…,Offensive,TIN,GRP
अरे मादरचोद तुमची औकात काय आहे रे भोसडीच्यानो कोणी लवडा विचारत नाही तुम्हाला राजपुत भांडी घासत हो…,Offensive,TIN,GRP
हिंदू धर्मात वेद शास्त्र पुराण नीति उपनिषद आहेत तरीही काही दळभद्री लोक डोके टेकवायला पीर बाबाच्या मदार वर जातात,Offensive,TIN,GRP
हा तमाशा सुरु केला भाजपवाल्यानीं केवळ दळभद्री राजकारण करत बिहार जिंकण्यासाठी,Offensive,TIN,GRP
